"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 03월 03일","75.52","84.36","85.68","75.51","1.31M","-9.58%"
"2021년 03월 02일","83.52","86.01","88.51","82.66","828.86K","-3.63%"
"2021년 03월 01일","86.67","81.19","88.65","81.11","1.15M","11.44%"
"2021년 02월 26일","77.77","82.06","92.30","76.40","2.40M","-9.51%"
"2021년 02월 25일","85.94","95.00","96.00","85.00","1.27M","-8.66%"
"2021년 02월 24일","94.09","95.68","98.39","92.06","1.04M","0.42%"
"2021년 02월 23일","93.70","91.00","95.66","84.11","1.52M","-3.82%"
"2021년 02월 22일","97.42","95.95","101.40","95.00","1.01M","0.48%"
"2021년 02월 19일","96.95","95.01","99.56","94.63","964.59K","3.68%"
"2021년 02월 18일","93.51","99.08","99.08","92.69","1.47M","-8.72%"
"2021년 02월 17일","102.44","106.10","106.47","98.61","1.23M","-5.12%"
"2021년 02월 16일","107.97","111.49","114.20","105.66","775.75K","-0.88%"
"2021년 02월 12일","108.93","108.81","111.07","103.74","686.94K","-0.15%"
"2021년 02월 11일","109.09","113.58","114.72","107.58","854.73K","-4.04%"
"2021년 02월 10일","113.68","111.86","117.00","110.04","979.49K","2.78%"
"2021년 02월 09일","110.60","114.30","114.34","109.54","1.35M","-0.80%"
"2021년 02월 08일","111.49","101.68","114.23","101.06","1.42M","12.98%"
"2021년 02월 05일","98.68","97.57","99.85","94.50","482.56K","1.79%"
"2021년 02월 04일","96.94","98.56","99.48","95.64","610.51K","-0.49%"
"2021년 02월 03일","97.42","95.00","99.62","94.54","675.97K","3.01%"
"2021년 02월 02일","94.57","102.41","102.41","92.96","846.19K","-4.46%"
"2021년 02월 01일","98.98","91.56","98.98","88.81","851.95K","10.47%"
"2021년 01월 29일","89.60","93.45","97.62","87.52","1.02M","-3.75%"
"2021년 01월 28일","93.09","96.15","97.33","89.44","1.03M","-3.54%"
"2021년 01월 27일","96.51","93.60","98.20","87.15","1.50M","-1.77%"
"2021년 01월 26일","98.25","101.00","104.00","98.17","1.11M","-2.00%"
"2021년 01월 25일","100.25","102.45","109.90","98.04","1.54M","-0.28%"
"2021년 01월 22일","100.53","95.91","101.05","94.00","912.91K","3.59%"
"2021년 01월 21일","97.05","93.39","99.28","91.77","1.34M","6.34%"
"2021년 01월 20일","91.26","88.79","95.10","88.00","1.46M","5.16%"
"2021년 01월 19일","86.78","82.93","87.58","78.73","1.20M","8.46%"
"2021년 01월 15일","80.01","81.68","81.99","76.14","1.16M","-3.82%"
"2021년 01월 14일","83.19","85.99","86.60","82.65","783.72K","-2.37%"
"2021년 01월 13일","85.21","87.40","87.90","84.12","766.75K","-1.13%"
"2021년 01월 12일","86.18","87.28","89.11","84.74","987.52K","0.41%"
"2021년 01월 11일","85.83","82.75","86.45","81.00","925.58K","1.83%"
"2021년 01월 08일","84.29","89.93","90.00","82.34","1.29M","-4.26%"
"2021년 01월 07일","88.04","91.45","92.11","85.51","1.43M","3.75%"
"2021년 01월 06일","84.86","78.89","89.49","78.89","2.26M","12.68%"
"2021년 01월 05일","75.31","70.47","77.86","70.29","1.33M","8.63%"
"2021년 01월 04일","69.33","72.40","73.73","68.96","809.26K","-2.10%"
