,date,li_price
509,2017-01-19,113.0
510,2017-01-20,113.0
511,2017-01-22,113.0
512,2017-01-23,113.0
513,2017-01-24,113.0
514,2017-01-25,113.0
515,2017-02-06,113.0
516,2017-02-07,113.0
517,2017-02-08,113.0
518,2017-02-09,113.0
519,2017-02-10,113.0
520,2017-02-13,113.0
521,2017-02-14,113.0
522,2017-02-15,113.0
523,2017-02-16,113.0
524,2017-02-17,113.0
525,2017-02-20,113.0
526,2017-02-21,113.0
527,2017-02-22,113.0
528,2017-02-23,113.0
529,2017-02-24,113.0
530,2017-02-27,113.0
531,2017-02-28,113.0
532,2017-03-01,113.0
533,2017-03-02,113.0
534,2017-03-03,113.0
535,2017-03-06,113.0
536,2017-03-07,113.0
537,2017-03-08,113.0
538,2017-03-09,113.0
539,2017-03-10,113.0
540,2017-03-13,113.0
541,2017-03-14,115.0
542,2017-03-15,115.0
543,2017-03-16,115.0
544,2017-03-17,115.0
545,2017-03-20,115.0
546,2017-03-21,115.0
547,2017-03-22,115.0
548,2017-03-23,115.0
549,2017-03-24,115.0
550,2017-03-27,115.0
551,2017-03-28,115.0
552,2017-03-29,116.0
553,2017-03-30,116.0
554,2017-03-31,116.0
555,2017-04-01,116.0
556,2017-04-05,116.0
557,2017-04-06,116.0
558,2017-04-07,116.0
559,2017-04-10,116.0
560,2017-04-11,119.0
561,2017-04-12,119.0
562,2017-04-13,119.0
563,2017-04-14,119.0
564,2017-04-17,119.0
565,2017-04-18,119.0
566,2017-04-19,119.0
567,2017-04-20,119.0
568,2017-04-21,119.0
569,2017-04-24,119.0
570,2017-04-25,119.0
571,2017-04-26,119.0
572,2017-04-27,119.0
573,2017-04-28,119.0
574,2017-05-02,122.0
575,2017-05-03,122.0
576,2017-05-04,122.0
577,2017-05-05,122.0
578,2017-05-08,122.0
579,2017-05-09,123.0
580,2017-05-10,123.0
581,2017-05-11,123.0
582,2017-05-12,123.0
583,2017-05-15,123.0
584,2017-05-16,123.0
585,2017-05-17,123.0
586,2017-05-18,123.0
587,2017-05-19,124.0
588,2017-05-22,124.0
589,2017-05-23,124.0
590,2017-05-24,124.0
591,2017-05-25,124.0
592,2017-05-26,124.0
593,2017-05-27,124.0
594,2017-05-31,124.0
595,2017-06-01,124.0
596,2017-06-02,124.0
597,2017-06-05,124.0
598,2017-06-06,124.0
599,2017-06-07,124.0
600,2017-06-08,124.0
601,2017-06-09,124.0
602,2017-06-12,124.0
603,2017-06-13,124.0
604,2017-06-14,124.0
605,2017-06-15,124.0
606,2017-06-16,124.0
607,2017-06-19,124.0
608,2017-06-20,124.0
609,2017-06-21,124.0
610,2017-06-22,124.0
611,2017-06-23,124.0
612,2017-06-26,124.0
613,2017-06-27,124.0
614,2017-06-28,124.0
615,2017-06-29,126.0
616,2017-06-30,126.0
617,2017-07-03,126.0
618,2017-07-04,126.0
619,2017-07-05,126.0
620,2017-07-06,126.0
621,2017-07-07,126.0
622,2017-07-10,126.0
623,2017-07-11,126.0
624,2017-07-12,126.0
625,2017-07-13,126.0
626,2017-07-14,126.0
627,2017-07-17,126.0
628,2017-07-18,126.0
629,2017-07-19,126.0
630,2017-07-20,126.0
631,2017-07-21,126.0
632,2017-07-24,126.0
633,2017-07-25,126.0
634,2017-07-26,126.0
635,2017-07-27,126.0
636,2017-07-28,126.0
637,2017-07-31,126.0
638,2017-08-01,126.0
639,2017-08-02,126.0
640,2017-08-03,126.0
641,2017-08-04,126.0
642,2017-08-07,126.0
643,2017-08-08,126.0
644,2017-08-09,126.0
645,2017-08-10,126.0
646,2017-08-11,126.0
647,2017-08-14,126.0
648,2017-08-15,128.0
649,2017-08-16,128.0
650,2017-08-17,128.0
651,2017-08-18,128.0
652,2017-08-21,128.0
653,2017-08-22,129.0
654,2017-08-23,129.0
655,2017-08-24,129.0
656,2017-08-25,129.0
657,2017-08-28,129.0
658,2017-08-29,129.0
659,2017-08-30,129.0
660,2017-08-31,129.0
661,2017-09-01,129.0
662,2017-09-04,129.0
663,2017-09-05,136.0
664,2017-09-06,144.0
665,2017-09-07,144.0
666,2017-09-08,144.0
667,2017-09-11,146.0
668,2017-09-12,146.0
669,2017-09-13,146.0
670,2017-09-14,146.0
671,2017-09-15,146.0
672,2017-09-18,146.0
673,2017-09-19,146.0
674,2017-09-20,146.0
675,2017-09-21,146.0
676,2017-09-22,146.0
677,2017-09-25,146.0
678,2017-09-26,146.0
679,2017-09-27,146.0
680,2017-09-28,146.0
681,2017-09-29,146.0
682,2017-10-02,146.0
683,2017-10-03,146.0
684,2017-10-04,146.0
685,2017-10-05,146.0
686,2017-10-06,146.0
687,2017-10-09,146.0
688,2017-10-10,146.0
689,2017-10-11,149.0
690,2017-10-12,152.0
691,2017-10-13,152.0
692,2017-10-16,152.0
693,2017-10-17,152.0
694,2017-10-18,152.0
695,2017-10-19,152.0
696,2017-10-20,152.0
697,2017-10-23,152.0
698,2017-10-24,152.0
699,2017-10-25,152.0
700,2017-10-26,152.0
701,2017-10-27,152.0
702,2017-10-30,152.0
703,2017-10-31,152.0
704,2017-11-01,152.0
705,2017-11-02,155.0
706,2017-11-03,155.0
707,2017-11-06,155.0
708,2017-11-07,155.0
709,2017-11-08,155.0
710,2017-11-09,155.0
711,2017-11-10,155.0
712,2017-11-13,155.0
713,2017-11-14,155.0
714,2017-11-15,155.0
715,2017-11-16,155.0
716,2017-11-17,155.0
717,2017-11-20,155.0
718,2017-11-21,155.0
719,2017-11-22,155.0
720,2017-11-23,155.0
721,2017-11-24,155.0
722,2017-11-27,155.0
723,2017-11-28,155.0
724,2017-11-29,155.0
725,2017-11-30,155.0
726,2017-12-01,155.0
727,2017-12-04,155.0
728,2017-12-05,155.0
729,2017-12-06,155.0
730,2017-12-07,155.0
731,2017-12-08,155.0
732,2017-12-11,155.0
733,2017-12-12,155.0
734,2017-12-13,155.0
735,2017-12-14,155.0
736,2017-12-15,152.0
737,2017-12-18,152.0
738,2017-12-19,152.0
739,2017-12-20,152.0
740,2017-12-21,150.0
741,2017-12-22,150.0
742,2017-12-25,150.0
743,2017-12-26,150.0
744,2017-12-27,150.0
745,2017-12-28,150.0
746,2017-12-29,150.0
747,2018-01-02,150.0
748,2018-01-03,151.0
749,2018-01-04,150.0
750,2018-01-05,150.0
751,2018-01-08,150.0
752,2018-01-09,148.5
753,2018-01-10,148.5
754,2018-01-11,148.5
755,2018-01-12,148.5
756,2018-01-15,146.5
757,2018-01-16,146.5
758,2018-01-17,146.5
759,2018-01-18,146.5
760,2018-01-19,146.5
761,2018-01-22,146.5
762,2018-01-23,146.5
763,2018-01-24,144.5
764,2018-01-25,144.5
765,2018-01-26,144.5
766,2018-01-29,144.5
767,2018-01-30,144.5
768,2018-01-31,144.5
769,2018-02-01,144.5
770,2018-02-02,144.5
771,2018-02-05,144.5
772,2018-02-06,144.5
773,2018-02-07,144.5
774,2018-02-08,144.5
775,2018-02-09,144.5
776,2018-02-22,144.5
777,2018-02-23,144.5
778,2018-02-26,144.5
779,2018-02-27,144.5
780,2018-02-28,144.5
781,2018-03-01,144.5
782,2018-03-02,144.5
783,2018-03-05,144.5
784,2018-03-06,144.5
785,2018-03-07,144.5
786,2018-03-08,144.5
787,2018-03-09,144.5
788,2018-03-12,144.5
789,2018-03-13,144.5
790,2018-03-14,144.5
791,2018-03-15,144.5
792,2018-03-16,144.5
793,2018-03-19,144.5
794,2018-03-20,144.5
795,2018-03-21,144.5
796,2018-03-22,144.5
797,2018-03-23,144.5
798,2018-03-26,144.5
799,2018-03-27,144.5
800,2018-03-28,144.5
801,2018-03-29,144.5
802,2018-03-30,144.5
803,2018-04-02,144.5
804,2018-04-03,142.5
805,2018-04-04,140.5
806,2018-04-08,153.5
807,2018-04-09,139.5
808,2018-04-10,138.5
809,2018-04-11,138.5
810,2018-04-12,138.5
811,2018-04-13,138.5
812,2018-04-16,135.5
813,2018-04-17,134.5
814,2018-04-18,134.5
815,2018-04-19,134.5
816,2018-04-20,134.5
817,2018-04-23,134.5
818,2018-04-24,133.5
819,2018-04-25,133.5
820,2018-04-26,133.5
821,2018-04-27,133.5
822,2018-04-28,133.5
823,2018-05-02,132.5
824,2018-05-03,131.5
825,2018-05-04,131.5
826,2018-05-07,131.5
827,2018-05-08,131.5
828,2018-05-09,131.5
829,2018-05-10,131.5
830,2018-05-11,131.5
831,2018-05-14,131.5
832,2018-05-15,131.5
833,2018-05-16,131.5
834,2018-05-17,131.5
835,2018-05-18,131.5
836,2018-05-21,131.5
837,2018-05-22,131.5
838,2018-05-23,131.5
839,2018-05-24,131.5
840,2018-05-25,131.5
841,2018-05-28,128.5
842,2018-05-29,125.5
843,2018-05-30,123.5
844,2018-05-31,121.5
845,2018-06-01,121.5
846,2018-06-04,121.5
847,2018-06-05,118.5
848,2018-06-06,118.5
849,2018-06-07,115.5
850,2018-06-08,113.5
851,2018-06-11,113.5
852,2018-06-12,113.5
853,2018-06-13,113.5
854,2018-06-14,113.5
855,2018-06-15,110.5
