"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 01월 11일","69.45","68.42","69.68","67.75","25.20M","0.67%"
"2019년 01월 10일","68.99","66.88","69.08","66.36","30.28M","1.89%"
"2019년 01월 09일","67.71","67.10","68.70","66.29","27.16M","0.95%"
"2019년 01월 08일","67.07","68.39","68.80","65.40","35.04M","0.12%"
"2019년 01월 07일","66.99","64.34","67.35","63.55","37.76M","5.43%"
"2019년 01월 04일","63.54","61.20","63.60","60.55","36.97M","5.78%"
"2019년 01월 03일","60.07","61.40","61.88","59.48","34.83M","-3.14%"
"2019년 01월 02일","62.02","61.22","63.03","59.76","58.29M","-6.82%"
"2018년 12월 31일","66.56","67.56","67.84","65.05","31.51M","-0.31%"
"2018년 12월 28일","66.77","64.62","67.25","63.68","49.69M","5.60%"
"2018년 12월 27일","63.23","63.97","64.43","60.30","42.88M","-3.05%"
"2018년 12월 26일","65.22","60.00","65.39","58.82","40.82M","10.39%"
"2018년 12월 24일","59.08","62.70","62.90","59.04","27.80M","-7.62%"
"2018년 12월 21일","63.95","63.48","64.69","62.49","40.08M","1.38%"
"2018년 12월 20일","63.08","65.41","66.06","62.37","45.36M","-5.27%"
"2018년 12월 19일","66.59","67.52","69.40","65.95","41.37M","-1.22%"
"2018년 12월 18일","67.41","70.11","70.31","66.74","35.50M","-3.26%"
"2018년 12월 17일","69.68","72.40","73.14","68.78","38.37M","-4.73%"
"2018년 12월 14일","73.14","75.00","75.57","72.87","31.69M","-2.95%"
"2018년 12월 13일","75.36","74.03","75.49","73.35","36.83M","2.78%"
"2018년 12월 12일","73.32","73.88","74.38","73.03","25.14M","-0.04%"
"2018년 12월 11일","73.35","73.98","74.43","72.05","31.54M","0.44%"
"2018년 12월 10일","73.03","72.00","73.20","70.62","33.07M","2.01%"
"2018년 12월 07일","71.59","73.80","75.90","71.53","57.56M","-1.40%"
"2018년 12월 06일","72.61","71.20","73.48","70.15","39.21M","0.93%"
"2018년 12월 04일","71.94","71.21","73.74","70.40","42.31M","0.33%"
"2018년 12월 03일","71.70","72.00","73.20","70.40","41.53M","2.28%"
"2018년 11월 30일","70.10","68.37","70.32","67.65","28.14M","2.74%"
"2018년 11월 29일","68.23","69.40","69.50","67.91","15.40M","-1.93%"
"2018년 11월 28일","69.57","69.20","69.66","68.44","20.64M","1.15%"
"2018년 11월 27일","68.78","68.01","69.39","67.10","31.79M","-0.61%"
"2018년 11월 26일","69.20","65.00","69.24","65.00","39.96M","6.18%"
"2018년 11월 23일","65.17","66.87","67.50","65.11","21.01M","-3.65%"
"2018년 11월 21일","67.64","70.40","70.62","67.48","23.43M","-2.68%"
"2018년 11월 20일","69.50","68.35","69.96","66.71","40.02M","-1.68%"
