"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 08월 14일","6,046.00","6,135.25","6,151.50","6,025.50","-","-1.38%"
"2018년 08월 13일","6,130.75","6,154.75","6,182.50","6,097.25","-","-0.37%"
"2018년 08월 10일","6,153.50","6,201.50","6,220.25","6,127.25","-","-0.69%"
"2018년 08월 09일","6,196.25","6,168.75","6,306.00","6,166.25","-","0.37%"
"2018년 08월 08일","6,173.50","6,172.75","6,209.50","6,130.00","-","0.26%"
"2018년 08월 07일","6,157.75","6,113.50","6,193.00","6,105.25","-","0.82%"
"2018년 08월 06일","6,107.50","6,155.50","6,181.75","6,066.75","-","-1.09%"
"2018년 08월 03일","6,175.00","6,116.75","6,234.75","6,074.00","-","0.59%"
"2018년 08월 02일","6,138.50","6,143.75","6,177.50","6,067.50","-","0.30%"
"2018년 08월 01일","6,120.25","6,306.75","6,306.75","6,112.00","-","-3.21%"
"2018년 07월 31일","6,323.00","6,241.75","6,341.25","6,192.25","-","1.22%"
"2018년 07월 30일","6,246.50","6,261.00","6,277.00","6,166.25","-","0.03%"
"2018년 07월 27일","6,244.75","6,271.50","6,324.50","6,218.25","-","-0.59%"
"2018년 07월 26일","6,282.00","6,356.00","6,376.75","6,256.50","-","-0.40%"
"2018년 07월 25일","6,307.50","6,267.75","6,328.75","6,242.00","-","0.72%"
"2018년 07월 24일","6,262.25","6,140.25","6,326.50","6,111.00","-","2.17%"
"2018년 07월 23일","6,129.00","6,157.25","6,204.00","6,118.00","-","-0.37%"
"2018년 07월 20일","6,151.50","6,072.50","6,171.00","6,007.00","-","1.59%"
"2018년 07월 19일","6,055.50","6,188.50","6,214.00","5,988.50","-","-2.06%"
"2018년 07월 18일","6,183.00","6,156.00","6,193.75","6,083.25","-","0.39%"
"2018년 07월 17일","6,159.25","6,191.00","6,261.50","6,143.25","-","-0.53%"
"2018년 07월 16일","6,192.00","6,225.50","6,267.25","6,150.75","-","-0.39%"
"2018년 07월 13일","6,216.50","6,225.25","6,242.75","6,156.50","-","0.02%"
"2018년 07월 12일","6,215.50","6,147.00","6,246.00","6,102.75","-","1.28%"
"2018년 07월 11일","6,137.25","6,328.25","6,328.25","6,081.75","-","-3.29%"
"2018년 07월 10일","6,346.00","6,425.00","6,443.00","6,301.50","-","-0.93%"
"2018년 07월 09일","6,405.75","6,327.25","6,437.50","6,324.75","-","1.58%"
"2018년 07월 06일","6,306.00","6,333.25","6,344.00","6,222.00","-","-0.28%"
"2018년 07월 05일","6,323.75","6,409.75","6,428.00","6,307.00","-","-1.20%"
"2018년 07월 04일","6,400.75","6,518.00","6,564.75","6,344.25","-","-1.69%"
