,date,매출액,매출원가,매출총이익,영업이익,순이익,자산총계,매출총이익률,영업이익률,주당순이익EPS(달러),주가수익배수PER(배),총자산이익률ROA(%)
923,2018-08-02,18348.596816976125,14753.294429708223,3595.3023872679046,-467.7771883289125,-918.6259946949602,28730.2175066313,20.219580092802094,-3.1590805297693403,-1.0826259946949601,-63.7427851458886,-3.4273209549071617
924,2018-08-03,18378.814323607425,14779.175066312997,3599.6392572944296,-467.0026525198939,-919.1830238726791,28740.02122015915,20.206129454017887,-3.145962569916503,-1.083183023872679,-63.69246684350133,-3.4270557029177717
925,2018-08-06,18409.031830238724,14805.055702917773,3603.976127320955,-466.2281167108753,-919.7400530503978,28749.824933687003,20.192678815233684,-3.1328446100636653,-1.0837400530503978,-63.64214854111406,-3.4267904509283817
926,2018-08-07,18439.249336870027,14830.936339522546,3608.31299734748,-465.45358090185675,-920.2970822281167,28759.628647214853,20.179228176449477,-3.119726650210828,-1.0842970822281166,-63.59183023872679,-3.4265251989389918
927,2018-08-08,18469.466843501326,14856.81697612732,3612.649867374005,-464.6790450928382,-920.8541114058355,28769.432360742707,20.165777537665274,-3.1066086903579904,-1.0848541114058354,-63.541511936339525,-3.4262599469496022
928,2018-08-09,18499.684350132626,14882.697612732096,3616.9867374005307,-463.9045092838196,-921.4111405835544,28779.236074270557,20.152326898881068,-3.093490730505153,-1.0854111405835543,-63.49119363395226,-3.4259946949602123
929,2018-08-10,18529.901856763925,14908.578249336872,3621.323607427056,-463.1299734748011,-921.9681697612732,28789.039787798407,20.138876260096865,-3.080372770652315,-1.085968169761273,-63.44087533156499,-3.4257294429708223
930,2018-08-13,18560.119363395228,14934.458885941645,3625.660477453581,-462.35543766578246,-922.525198938992,28798.84350132626,20.125425621312658,-3.0672548107994775,-1.086525198938992,-63.39055702917772,-3.4254641909814323
931,2018-08-14,18590.336870026527,14960.33952254642,3629.9973474801063,-461.58090185676394,-923.0822281167109,28808.64721485411,20.111974982528455,-3.05413685094664,-1.0870822281167107,-63.34023872679045,-3.4251989389920423
932,2018-08-15,18620.554376657827,14986.220159151195,3634.3342175066314,-460.8063660477453,-923.6392572944297,28818.450928381964,20.09852434374425,-3.0410188910938025,-1.0876392572944296,-63.289920424403185,-3.4249336870026523
933,2018-08-16,18650.771883289126,15012.100795755969,3638.6710875331564,-460.0318302387268,-924.1962864721486,28828.254641909814,20.085073704960045,-3.027900931240965,-1.0881962864721484,-63.23960212201592,-3.4246684350132623
934,2018-08-17,18680.989389920425,15037.981432360742,3643.007957559682,-459.2572944297082,-924.7533156498673,28838.058355437664,20.07162306617584,-3.0147829713881276,-1.0887533156498672,-63.18928381962865,-3.424403183023873
935,2018-08-20,18711.206896551725,15063.862068965518,3647.344827586207,-458.48275862068965,-925.3103448275862,28847.862068965518,20.058172427391632,-3.00166501153529,-1.0893103448275863,-63.13896551724138,-3.424137931034483
936,2018-08-21,18741.424403183024,15089.742705570292,3651.681697612732,-457.7082228116711,-925.867374005305,28857.665782493368,20.04472178860743,-2.9885470516824526,-1.0898673740053049,-63.08864721485411,-3.423872679045093
937,2018-08-22,18771.641909814323,15115.623342175066,3656.0185676392575,-456.9336870026525,-926.4244031830239,28867.469496021222,20.031271149823226,-2.975429091829615,-1.090424403183024,-63.038328912466845,-3.423607427055703
938,2018-08-23,18801.859416445623,15141.503978779841,3660.3554376657826,-456.15915119363393,-926.9814323607427,28877.273209549072,20.01782051103902,-2.9623111319767776,-1.0909814323607425,-62.98801061007958,-3.423342175066313
939,2018-08-24,18832.076923076922,15167.384615384617,3664.6923076923076,-455.38461538461536,-927.5384615384615,28887.076923076922,20.004369872254813,-2.94919317212394,-1.0915384615384616,-62.93769230769231,-3.423076923076923
940,2018-08-27,18862.29442970822,15193.265251989389,3669.029177718833,-454.61007957559684,-928.0954907161804,28896.880636604776,19.99091923347061,-2.9360752122711027,-1.0920954907161804,-62.88737400530504,-3.422811671087533
941,2018-08-28,18892.51193633952,15219.145888594165,3673.366047745358,-453.8355437665782,-928.6525198938992,28906.684350132626,19.977468594686403,-2.922957252418265,-1.0926525198938992,-62.83705570291777,-3.4225464190981434
942,2018-08-29,18922.72944297082,15245.02652519894,3677.702917771883,-453.0610079575597,-929.2095490716181,28916.48806366048,19.9640179559022,-2.9098392925654277,-1.093209549071618,-62.786737400530505,-3.4222811671087534
