"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 10월 12일","63.13","64.76","65.06","61.35","1.65M","-0.22%"
"2020년 10월 09일","63.27","60.70","63.78","60.25","1.15M","5.17%"
"2020년 10월 08일","60.16","61.54","62.10","59.25","1.34M","0.72%"
"2020년 10월 07일","59.73","57.20","61.22","56.79","1.63M","5.89%"
"2020년 10월 06일","56.41","57.41","59.51","55.15","1.32M","-1.17%"
"2020년 10월 05일","57.08","57.61","58.34","56.39","1.21M","2.48%"
"2020년 10월 02일","55.70","52.35","56.30","51.10","1.20M","3.28%"
"2020년 10월 01일","53.93","53.95","54.98","52.75","1.01M","0.95%"
"2020년 09월 30일","53.42","50.83","54.71","50.44","2.08M","6.80%"
"2020년 09월 29일","50.02","46.86","50.32","46.09","1.85M","6.81%"
"2020년 09월 28일","46.83","46.16","47.85","45.30","961.18K","3.72%"
"2020년 09월 25일","45.15","46.20","46.90","44.40","785.62K","-2.78%"
"2020년 09월 24일","46.44","45.49","47.70","43.82","632.45K","1.42%"
"2020년 09월 23일","45.79","47.46","49.28","45.71","994.40K","-3.52%"
"2020년 09월 22일","47.46","47.21","48.64","46.12","787.93K","1.24%"
"2020년 09월 21일","46.88","47.13","47.13","42.84","1.31M","-3.93%"
"2020년 09월 18일","48.80","47.54","49.22","46.36","1.64M","3.02%"
"2020년 09월 17일","47.37","45.78","48.31","45.78","874.26K","0.66%"
"2020년 09월 16일","47.06","45.75","47.93","45.44","1.21M","3.91%"
"2020년 09월 15일","45.29","43.87","46.20","43.60","1.02M","4.35%"
"2020년 09월 14일","43.40","41.74","43.50","40.92","802.60K","5.21%"
"2020년 09월 11일","41.25","41.84","42.31","40.56","522.78K","-0.75%"
"2020년 09월 10일","41.56","43.48","44.13","41.39","1.10M","-3.26%"
"2020년 09월 09일","42.96","38.83","44.42","38.83","1.60M","11.99%"
"2020년 09월 08일","38.36","39.25","39.43","37.81","956.31K","-2.52%"
"2020년 09월 04일","39.35","38.14","39.44","36.01","867.32K","3.96%"
"2020년 09월 03일","37.85","38.27","39.02","37.50","753.49K","-1.94%"
"2020년 09월 02일","38.60","38.76","38.89","36.32","944.83K","-0.05%"
"2020년 09월 01일","38.62","35.11","39.04","35.09","1.57M","15.52%"
